Name,Owner,URL,CreatedAt,UpdatedAt,StargazerCount,ForkCount,PrimaryLanguage,Watchers,Releases
zhihu-python,egrcc,https://github.com/egrcc/zhihu-python,2014-12-14T15:37:29Z,2020-10-01T13:57:49Z,2107,856,Python,188,0
google-cloud-python,googleapis,https://github.com/googleapis/google-cloud-python,2014-01-28T15:51:47Z,2020-10-07T18:01:50Z,3361,1316,,302,696
30-seconds-of-python,30-seconds,https://github.com/30-seconds/30-seconds-of-python,2018-01-08T12:17:16Z,2020-10-07T18:08:47Z,6704,965,Python,219,0
python-slackclient,slackapi,https://github.com/slackapi/python-slackclient,2014-11-10T21:32:02Z,2020-10-07T18:56:15Z,2931,685,Python,176,41
tweepy,tweepy,https://github.com/tweepy/tweepy,2009-07-06T04:15:34Z,2020-10-07T18:42:58Z,7167,3252,Python,273,12
GitPython,gitpython-developers,https://github.com/gitpython-developers/GitPython,2010-11-30T17:34:03Z,2020-10-07T20:32:18Z,2861,665,Python,103,1
intermediatePython,yasoob,https://github.com/yasoob/intermediatePython,2015-08-15T21:21:51Z,2020-10-07T15:41:48Z,3106,635,Python,168,0
raven-python,getsentry,https://github.com/getsentry/raven-python,2011-10-06T18:30:01Z,2020-10-05T06:04:41Z,1672,799,Python,169,10
python_reference,rasbt,https://github.com/rasbt/python_reference,2013-10-29T22:04:12Z,2020-10-07T02:40:51Z,2515,670,Jupyter Notebook,198,0
shadowsocksr,shadowsocksr-backup,https://github.com/shadowsocksr-backup/shadowsocksr,2017-07-27T13:58:27Z,2020-10-07T16:59:04Z,5526,3307,Python,348,0
pyenv,pyenv,https://github.com/pyenv/pyenv,2012-08-31T06:57:52Z,2020-10-07T22:35:37Z,20923,1833,Shell,377,28
python-docx,python-openxml,https://github.com/python-openxml/python-docx,2013-10-15T14:50:41Z,2020-10-07T18:27:36Z,2351,667,Python,145,0
AlgorithmsByPython,Jack-Lee-Hiter,https://github.com/Jack-Lee-Hiter/AlgorithmsByPython,2016-06-27T14:39:00Z,2020-10-07T15:26:45Z,2876,1135,Python,113,0
NLP-with-Python,susanli2016,https://github.com/susanli2016/NLP-with-Python,2017-08-03T04:18:42Z,2020-10-07T14:11:48Z,1721,1402,Jupyter Notebook,152,0
python-social-auth,omab,https://github.com/omab/python-social-auth,2012-12-12T16:08:42Z,2020-10-06T05:50:54Z,2791,1138,Python,122,0
RustPython,RustPython,https://github.com/RustPython/RustPython,2018-05-28T19:27:01Z,2020-10-07T22:10:35Z,5998,436,Rust,108,0
WhirlwindTourOfPython,jakevdp,https://github.com/jakevdp/WhirlwindTourOfPython,2016-07-27T14:39:44Z,2020-10-07T21:53:01Z,2521,1164,Jupyter Notebook,201,0
mne-python,mne-tools,https://github.com/mne-tools/mne-python,2011-01-28T03:31:13Z,2020-10-07T17:33:46Z,1402,800,Python,80,25
Kalman-and-Bayesian-Filters-in-Python,rlabbe,https://github.com/rlabbe/Kalman-and-Bayesian-Filters-in-Python,2014-05-16T19:24:36Z,2020-10-07T20:11:44Z,8810,2498,Jupyter Notebook,435,0
pyecharts,pyecharts,https://github.com/pyecharts/pyecharts,2017-06-22T02:50:25Z,2020-10-07T15:53:28Z,9825,2239,Python,364,0
python-oauth2,joestump,https://github.com/joestump/python-oauth2,2009-10-21T17:21:07Z,2020-10-06T10:49:03Z,2925,1044,Python,218,0
autobahn-python,crossbario,https://github.com/crossbario/autobahn-python,2011-07-27T15:22:13Z,2020-10-05T18:25:18Z,2214,618,Python,105,0
google-maps-services-python,googlemaps,https://github.com/googlemaps/google-maps-services-python,2014-08-15T04:35:30Z,2020-10-08T00:09:37Z,2895,1005,Python,164,15
mongo-python-driver,mongodb,https://github.com/mongodb/mongo-python-driver,2009-01-15T15:18:06Z,2020-10-07T11:37:52Z,3120,962,Python,250,7
Python-100-Days,ZiniuLu,https://github.com/ZiniuLu/Python-100-Days,2018-06-12T09:40:33Z,2020-10-07T08:46:35Z,2690,989,Python,388,0
